# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
2.7200,0.753982,8.345619e-02,4.835402e-02
2.7400,0.251327,1.504827e-01,1.110804e-02
2.7400,0.502655,9.559770e-02,4.359552e-02
2.7400,0.753982,8.440364e-02,4.925967e-02
2.7600,0.251327,1.516186e-01,1.109209e-02
2.7600,0.502655,9.640382e-02,4.395444e-02
2.7600,0.753982,8.522309e-02,4.989551e-02
2.7800,0.251327,1.525139e-01,1.084008e-02
2.7800,0.502655,9.705846e-02,4.401931e-02
2.7800,0.753982,8.591072e-02,5.025305e-02
2.8000,0.251327,1.531643e-01,1.034981e-02
2.8000,0.502655,9.755851e-02,4.378552e-02
2.8000,0.753982,8.646332e-02,5.032598e-02
2.8200,0.251327,1.535667e-01,9.621381e-03
2.8200,0.502655,9.790158e-02,4.325089e-02
2.8200,0.753982,8.687827e-02,5.011025e-02
2.8400,0.251327,1.537191e-01,8.657222e-03
2.8400,0.502655,9.808599e-02,4.241570e-02
2.8400,0.753982,8.715358e-02,4.960412e-02
2.8600,0.251327,1.536207e-01,7.462093e-03
2.8600,0.502655,9.811081e-02,4.128276e-02
2.8600,0.753982,8.728790e-02,4.880819e-02
2.8800,0.251327,1.532717e-01,6.043057e-03
2.8800,0.502655,9.797584e-02,3.985735e-02
2.8800,0.753982,8.728055e-02,4.772545e-02
2.9000,0.251327,1.526737e-01,6.525491e-03
2.9000,0.502655,9.768162e-02,3.814722e-02
2.9000,0.753982,8.713149e-02,4.636121e-02
2.9200,0.251327,1.518293e-01,7.391739e-03
2.9200,0.502655,9.722946e-02,3.616252e-02
2.9200,0.753982,8.684135e-02,4.472315e-02
2.9400,0.251327,1.507423e-01,8.349423e-03
2.9400,0.502655,9.662139e-02,3.391576e-02
2.9400,0.753982,8.641141e-02,4.282117e-02
2.9600,0.251327,1.494177e-01,1.104786e-02
2.9600,0.502655,9.586015e-02,3.142162e-02
2.9600,0.753982,8.584363e-02,4.066739e-02
2.9800,0.251327,1.478615e-01,1.453127e-02
2.9800,0.502655,9.494921e-02,2.869691e-02
2.9800,0.753982,8.514055e-02,3.827599e-02
3.0000,0.251327,1.460807e-01,1.822847e-02
3.0000,0.502655,9.389270e-02,2.576037e-02
3.0000,0.753982,8.430538e-02,3.566313e-02
3.0200,0.251327,1.440834e-01,2.211269e-02
3.0200,0.502655,9.269541e-02,2.263251e-02
3.0200,0.753982,8.334191e-02,3.284677e-02
3.0400,0.251327,1.418785e-01,2.615541e-02
3.0400,0.502655,9.136274e-02,1.933542e-02
3.0400,0.753982,8.225449e-02,2.984651e-02
3.0600,0.251327,1.394761e-01,3.032656e-02
3.0600,0.502655,8.990067e-02,1.589258e-02
3.0600,0.753982,8.104801e-02,2.668344e-02
3.0800,0.251327,1.368867e-01,3.459484e-02
3.0800,0.502655,8.831574e-02,1.232861e-02
3.0800,0.753982,7.972790e-02,2.337992e-02
3.1000,0.251327,1.341217e-01,3.892805e-02
3.1000,0.502655,8.661495e-02,8.669081e-03
3.1000,0.753982,7.830001e-02,1.995936e-02
3.1200,0.251327,1.311933e-01,4.329334e-02
3.1200,0.502655,8.480577e-02,4.940222e-03
3.1200,0.753982,7.677066e-02,1.644603e-02
3.1400,0.251327,1.281141e-01,4.765756e-02
3.1400,0.502655,8.289606e-02,2.544141e-03
3.1400,0.753982,7.514652e-02,1.286480e-02
3.1600,0.251327,1.248971e-01,5.198760e-02
3.1600,0.502655,8.089402e-02,4.010346e-03
3.1600,0.753982,7.343464e-02,9.240930e-03
3.1800,0.251327,1.215560e-01,5.625066e-02
3.1800,0.502655,7.880812e-02,6.615468e-03
3.1800,0.753982,7.164232e-02,5.599833e-03
3.2000,0.251327,1.181047e-01,6.041458e-02
3.2000,0.502655,7.664708e-02,1.013370e-02
3.2000,0.753982,6.977712e-02,4.456392e-03
3.2200,0.251327,1.145570e-01,6.444819e-02
3.2200,0.502655,7.441978e-02,1.380914e-02
3.2200,0.753982,6.784681e-02,4.982506e-03
3.2400,0.251327,1.109274e-01,6.832153e-02
3.2400,0.502655,7.213522e-02,1.739611e-02
3.2400,0.753982,6.585927e-02,7.410100e-03
3.2600,0.251327,1.072299e-01,7.200620e-02
3.2600,0.502655,6.980244e-02,2.087055e-02
3.2600,0.753982,6.382248e-02,9.754386e-03
3.2800,0.251327,1.034787e-01,7.547560e-02
3.2800,0.502655,6.743049e-02,2.420966e-02
3.2800,0.753982,6.174447e-02,1.199833e-02
3.3000,0.251327,9.968799e-02,7.870515e-02
3.3000,0.502655,6.502836e-02,2.739211e-02
3.3000,0.753982,5.963325e-02,1.522711e-02
3.3200,0.251327,9.587146e-02,8.167257e-02
3.3200,0.502655,6.260492e-02,3.039822e-02
3.3200,0.753982,5.749675e-02,1.831442e-02
3.3400,0.251327,9.204263e-02,8.435800e-02
3.3400,0.502655,6.016889e-02,3.321012e-02
3.3400,0.753982,5.534281e-02,2.123809e-02
3.3600,0.251327,8.821464e-02,8.674425e-02
3.3600,0.502655,5.772874e-02,3.581191e-02
3.3600,0.753982,5.317912e-02,2.398141e-02
3.3800,0.251327,8.440016e-02,8.881688e-02
3.3800,0.502655,5.529271e-02,3.818980e-02
3.3800,0.753982,5.101314e-02,2.652951e-02
3.4000,0.251327,8.061133e-02,9.056432e-02
3.4000,0.502655,5.286872e-02,4.033218e-02
3.4000,0.753982,4.885212e-02,2.886949e-02
3.4200,0.251327,7.685972e-02,9.197799e-02
3.4200,0.502655,5.046433e-02,4.222970e-02
3.4200,0.753982,4.670301e-02,3.099055e-02
3.4400,0.251327,7.315626e-02,9.305227e-02
3.4400,0.502655,4.808672e-02,4.387537e-02
3.4400,0.753982,4.457245e-02,3.288401e-02
3.4600,0.251327,6.951120e-02,9.378460e-02
3.4600,0.502655,4.574266e-02,4.526454e-02
3.4600,0.753982,4.246673e-02,3.454338e-02
3.4800,0.251327,6.593405e-02,9.417538e-02
3.4800,0.502655,4.343845e-02,4.639491e-02
3.4800,0.753982,4.039175e-02,3.596438e-02
3.5000,0.251327,6.243357e-02,9.422799e-02
3.5000,0.502655,4.117995e-02,4.726653e-02
3.5000,0.753982,3.835304e-02,3.714494e-02
3.5200,0.251327,5.901773e-02,9.394864e-02
3.5200,0.502655,3.897249e-02,4.788174e-02
3.5200,0.753982,3.635567e-02,3.808518e-02
3.5400,0.251327,5.569367e-02,9.334632e-02
3.5400,0.502655,3.682090e-02,4.824509e-02
3.5400,0.753982,3.440430e-02,3.878733e-02
3.5600,0.251327,5.246773e-02,9.243261e-02
3.5600,0.502655,3.472952e-02,4.836324e-02
3.5600,0.753982,3.250312e-02,3.925573e-02
3.5800,0.251327,4.934542e-02,9.122153e-02
3.5800,0.502655,3.270213e-02,4.824487e-02
3.5800,0.753982,3.065587e-02,3.949666e-02
3.6000,0.251327,4.633140e-02,8.972939e-02
3.6000,0.502655,3.074198e-02,4.790053e-02
3.6000,0.753982,2.886581e-02,3.951827e-02
3.6200,0.251327,4.342953e-02,8.797448e-02
3.6200,0.502655,2.885183e-02,4.734247e-02
3.6200,0.753982,2.713574e-02,3.933044e-02
3.6400,0.251327,4.064285e-02,8.597696e-02
3.6400,0.502655,2.703389e-02,4.658452e-02
3.6400,0.753982,2.546801e-02,3.894464e-02
3.6600,0.251327,3.797361e-02,8.375850e-02
3.6600,0.502655,2.528986e-02,4.564183e-02
3.6600,0.753982,2.386449e-02,3.837376e-02
3.6800,0.251327,3.542331e-02,8.134211e-02
3.6800,0.502655,2.362097e-02,4.453074e-02
3.6800,0.753982,2.232660e-02,3.763195e-02
3.7000,0.251327,3.299271e-02,7.875180e-02
3.7000,0.502655,2.202795e-02,4.326853e-02
3.7000,0.753982,2.085536e-02,3.673441e-02
3.7200,0.251327,3.068188e-02,7.601235e-02
3.7200,0.502655,2.051109e-02,4.187325e-02
3.7200,0.753982,1.945132e-02,3.569721e-02
3.7400,0.251327,2.849022e-02,7.314900e-02
3.7400,0.502655,1.907024e-02,4.036348e-02
3.7400,0.753982,1.811469e-02,3.453712e-02
3.7600,0.251327,2.641653e-02,7.018721e-02
3.7600,0.502655,1.770484e-02,3.875809e-02
3.7600,0.753982,1.684525e-02,3.327134e-02
3.7800,0.251327,2.445905e-02,6.715233e-02
3.7800,0.502655,1.641397e-02,3.707609e-02
3.7800,0.753982,1.564246e-02,3.191738e-02
3.8000,0.251327,2.261548e-02,6.406939e-02
3.8000,0.502655,1.519635e-02,3.533635e-02
3.8000,0.753982,1.450543e-02,3.049280e-02
3.8200,0.251327,2.088308e-02,6.096280e-02
3.8200,0.502655,1.405039e-02,3.355743e-02
3.8200,0.753982,1.343300e-02,2.901501e-02
3.8400,0.251327,1.925867e-02,5.785610e-02
3.8400,0.502655,1.297423e-02,3.175738e-02
3.8400,0.753982,1.242370e-02,2.750115e-02
3.8600,0.251327,1.773875e-02,5.477177e-02
3.8600,0.502655,1.196574e-02,2.995357e-02
3.8600,0.753982,1.147585e-02,2.596781e-02
3.8800,0.251327,1.631947e-02,5.173101e-02
3.8800,0.502655,1.102261e-02,2.816247e-02
3.8800,0.753982,1.058753e-02,2.443093e-02
3.9000,0.251327,1.499675e-02,4.875350e-02
3.9000,0.502655,1.014231e-02,2.639953e-02
3.9000,0.753982,9.756667e-03,2.290563e-02
3.9200,0.251327,1.376632e-02,4.585729e-02
3.9200,0.502655,9.322198e-03,2.467905e-02
3.9200,0.753982,8.981012e-03,2.140602e-02
3.9400,0.251327,1.262373e-02,4.305863e-02
3.9400,0.502655,8.559505e-03,2.301402e-02
3.9400,0.753982,8.258203e-03,1.994515e-02
3.9600,0.251327,1.156447e-02,4.037186e-02
3.9600,0.502655,7.851385e-03,2.141603e-02
3.9600,0.753982,7.585783e-03,1.853481e-02
3.9800,0.251327,1.058393e-02,3.780930e-02
3.9800,0.502655,7.194941e-03,1.989521e-02
3.9800,0.753982,6.961229e-03,1.718550e-02
4.0000,0.251327,9.677532e-03,3.538121e-02
4.0000,0.502655,6.587255e-03,1.846014e-02
4.0000,0.753982,6.381978e-03,1.590635e-02
4.0200,0.251327,8.840701e-03,3.309573e-02
4.0200,0.502655,6.025415e-03,1.711780e-02
4.0200,0.753982,5.845454e-03,1.470501e-02
4.0400,0.251327,8.068945e-03,3.095890e-02
4.0400,0.502655,5.506543e-03,1.587359e-02
4.0400,0.753982,5.349092e-03,1.358770e-02
4.0600,0.251327,7.357872e-03,2.897463e-02
4.0600,0.502655,5.027811e-03,1.473130e-02
4.0600,0.753982,4.890358e-03,1.255911e-02
4.0800,0.251327,6.703223e-03,2.714478e-02
4.0800,0.502655,4.586469e-03,1.369313e-02
4.0800,0.753982,4.466769e-03,1.162248e-02
4.1000,0.251327,6.100900e-03,2.546923e-02
4.1000,0.502655,4.179860e-03,1.275974e-02
4.1000,0.753982,4.075912e-03,1.077955e-02
4.1200,0.251327,5.546987e-03,2.394594e-02
4.1200,0.502655,3.805435e-03,1.215782e-02
4.1200,0.753982,3.715461e-03,1.022053e-02
4.1400,0.251327,5.037770e-03,2.257108e-02
4.1400,0.502655,3.460767e-03,1.163641e-02
4.1400,0.753982,3.383185e-03,9.806746e-03
4.1600,0.251327,4.569749e-03,2.133917e-02
4.1600,0.502655,3.143561e-03,1.112208e-02
4.1600,0.753982,3.076966e-03,9.395855e-03
4.1800,0.251327,4.139651e-03,2.024322e-02
4.1800,0.502655,2.851665e-03,1.061657e-02
4.1800,0.753982,2.794804e-03,8.989558e-03
4.2000,0.251327,3.744437e-03,1.927491e-02
4.2000,0.502655,2.583071e-03,1.012137e-02
4.2000,0.753982,2.534822e-03,8.589369e-03
4.2200,0.251327,3.381303e-03,1.842474e-02
4.2200,0.502655,2.335922e-03,9.637806e-03
4.2200,0.753982,2.295277e-03,8.196618e-03
4.2400,0.251327,3.047681e-03,1.768225e-02
4.2400,0.502655,2.108509e-03,9.166959e-03
4.2400,0.753982,2.074554e-03,7.812450e-03
4.2600,0.251327,2.741234e-03,1.703619e-02
4.2600,0.502655,1.899274e-03,8.709723e-03
4.2600,0.753982,1.871173e-03,7.437830e-03
4.2800,0.251327,2.459854e-03,1.647475e-02
4.2800,0.502655,1.706807e-03,8.525073e-03
4.2800,0.753982,1.683786e-03,7.073551e-03
4.3000,0.251327,2.201647e-03,1.598573e-02
4.3000,0.502655,1.529834e-03,8.399494e-03
4.3000,0.753982,1.511172e-03,6.974649e-03
4.3200,0.251327,1.964925e-03,1.555675e-02
4.3200,0.502655,1.367221e-03,8.311852e-03
4.3200,0.753982,1.352233e-03,6.932073e-03
4.3400,0.251327,1.748192e-03,1.517547e-02
4.3400,0.502655,1.217958e-03,8.252813e-03
4.3400,0.753982,1.205990e-03,6.919813e-03
4.3600,0.251327,1.550127e-03,1.482974e-02
4.3600,0.502655,1.081153e-03,8.213142e-03
4.3600,0.753982,1.071573e-03,6.929230e-03
4.3800,0.251327,1.369572e-03,1.450781e-02
4.3800,0.502655,9.560200e-04,8.183858e-03
4.3800,0.753982,9.482152e-04,6.951812e-03
4.4000,0.251327,1.205510e-03,1.419850e-02
4.4000,0.502655,8.418725e-04,8.156359e-03
4.4000,0.753982,8.352413e-04,6.979311e-03
4.4200,0.251327,1.057050e-03,1.389134e-02
4.4200,0.502655,7.381079e-04,8.122553e-03
4.4200,0.753982,7.320604e-04,7.003863e-03
4.4400,0.251327,9.234057e-04,1.357672e-02
4.4400,0.502655,6.441975e-04,8.074970e-03
4.4400,0.753982,6.381545e-04,7.018105e-03
4.4600,0.251327,8.038810e-04,1.324600e-02
4.4600,0.502655,5.596748e-04,8.006862e-03
4.4600,0.753982,5.530684e-04,7.015279e-03
4.4800,0.251327,6.978497e-04,1.289163e-02
4.4800,0.502655,4.841242e-04,7.912294e-03
4.4800,0.753982,4.763998e-04,6.989322e-03
4.5000,0.251327,6.047389e-04,1.250724e-02
4.5000,0.502655,4.171690e-04,7.786214e-03
4.5000,0.753982,4.077887e-04,6.934947e-03
4.5200,0.251327,5.240129e-04,1.208767e-02
4.5200,0.502655,3.584617e-04,7.624511e-03
4.5200,0.753982,3.469078e-04,6.847707e-03
4.5400,0.251327,4.551579e-04,1.162907e-02
4.5400,0.502655,3.076731e-04,7.424054e-03
4.5400,0.753982,2.934531e-04,6.724042e-03
4.5600,0.251327,3.976685e-04,1.112886e-02
4.5600,0.502655,2.644834e-04,7.182720e-03
4.5600,0.753982,2.471350e-04,6.561318e-03
4.5800,0.251327,3.510351e-04,1.058578e-02
4.5800,0.502655,2.285738e-04,6.899399e-03
4.5800,0.753982,2.076703e-04,6.357843e-03
4.6000,0.251327,3.147340e-04,9.999835e-03
4.6000,0.502655,1.996192e-04,6.573987e-03
4.6000,0.753982,1.747753e-04,6.112873e-03
4.6200,0.251327,2.882179e-04,9.372282e-03
4.6200,0.502655,1.772821e-04,6.207364e-03
4.6200,0.753982,1.481590e-04,5.826602e-03
4.6400,0.251327,2.709098e-04,8.705559e-03
4.6400,0.502655,1.612072e-04,5.801352e-03
4.6400,0.753982,1.275181e-04,5.500132e-03
4.6600,0.251327,2.621974e-04,8.003210e-03
4.6600,0.502655,1.510180e-04,5.358664e-03
4.6600,0.753982,1.125329e-04,5.135440e-03
4.6800,0.251327,2.614302e-04,7.269797e-03
4.6800,0.502655,1.463137e-04,4.882835e-03
4.6800,0.753982,1.028638e-04,4.735318e-03
4.7000,0.251327,2.679187e-04,6.510786e-03
4.7000,0.502655,1.466682e-04,4.378149e-03
4.7000,0.753982,9.814920e-05,4.303316e-03
4.7200,0.251327,2.809341e-04,5.732439e-03
4.7200,0.502655,1.516296e-04,3.849545e-03
4.7200,0.753982,9.800479e-05,3.843662e-03
4.7400,0.251327,2.997116e-04,4.941672e-03
4.7400,0.502655,1.607211e-04,3.302524e-03
4.7400,0.753982,1.020231e-04,3.361175e-03
4.7600,0.251327,3.234536e-04,4.145928e-03
4.7600,0.502655,1.734430e-04,2.743038e-03
4.7600,0.753982,1.097748e-04,2.861179e-03
4.7800,0.251327,3.513352e-04,3.353024e-03
4.7800,0.502655,1.892755e-04,2.177387e-03
4.7800,0.753982,1.208103e-04,2.349397e-03
4.8000,0.251327,3.825108e-04,2.571011e-03
4.8000,0.502655,2.076825e-04,1.612098e-03
4.8000,0.753982,1.346626e-04,1.831849e-03
4.8200,0.251327,4.161221e-04,2.253712e-03
4.8200,0.502655,2.281162e-04,1.241098e-03
4.8200,0.753982,1.508508e-04,1.314746e-03
4.8400,0.251327,4.513063e-04,2.029271e-03
4.8400,0.502655,2.500225e-04,1.112460e-03
4.8400,0.753982,1.688845e-04,1.022461e-03
4.8600,0.251327,4.872057e-04,1.818429e-03
4.8600,0.502655,2.728461e-04,1.006225e-03
4.8600,0.753982,1.882677e-04,9.147144e-04
4.8800,0.251327,5.229771e-04,1.908441e-03
4.8800,0.502655,2.960374e-04,1.389822e-03
4.8800,0.753982,2.085050e-04,9.839996e-04
4.9000,0.251327,5.578024e-04,2.333495e-03
4.9000,0.502655,3.190581e-04,1.748146e-03
4.9000,0.753982,2.291063e-04,1.341120e-03
4.9200,0.251327,5.908982e-04,2.715937e-03
4.9200,0.502655,3.413884e-04,2.075707e-03
4.9200,0.753982,2.495925e-04,1.673572e-03
4.9400,0.251327,6.215259e-04,3.049973e-03
4.9400,0.502655,3.625327e-04,2.367541e-03
4.9400,0.753982,2.695016e-04,1.976289e-03
4.9600,0.251327,6.490012e-04,3.330614e-03
4.9600,0.502655,3.820261e-04,2.619285e-03
4.9600,0.753982,2.883940e-04,2.244714e-03
4.9800,0.251327,6.727028e-04,3.553750e-03
4.9800,0.502655,3.994405e-04,2.827242e-03
4.9800,0.753982,3.058582e-04,2.474868e-03
5.0000,0.251327,6.920808e-04,3.716211e-03
5.0000,0.502655,4.143901e-04,2.988435e-03
5.0000,0.753982,3.215157e-04,2.663408e-03
5.0200,0.251327,7.066641e-04,3.815807e-03
5.0200,0.502655,4.265361e-04,3.100646e-03
5.0200,0.753982,3.350261e-04,2.807675e-03
5.0400,0.251327,7.160659e-04,3.851359e-03
5.0400,0.502655,4.355914e-04,3.162449e-03
5.0400,0.753982,3.460914e-04,2.905731e-03
5.0600,0.251327,7.199894e-04,3.822709e-03
5.0600,0.502655,4.413238e-04,3.173225e-03
5.0600,0.753982,3.544595e-04,2.956383e-03
5.0800,0.251327,7.182310e-04,3.730716e-03
5.0800,0.502655,4.435595e-04,3.133162e-03
5.0800,0.753982,3.599275e-04,2.959196e-03
5.1000,0.251327,7.106825e-04,3.577234e-03
5.1000,0.502655,4.421844e-04,3.043253e-03
5.1000,0.753982,3.623441e-04,2.914496e-03
5.1200,0.251327,6.973324e-04,3.365076e-03
5.1200,0.502655,4.371456e-04,2.905267e-03
5.1200,0.753982,3.616110e-04,2.823356e-03
5.1400,0.251327,6.782648e-04,3.097966e-03
5.1400,0.502655,4.284515e-04,2.721721e-03
5.1400,0.753982,3.576840e-04,2.687574e-03
5.1600,0.251327,6.536576e-04,2.780471e-03
5.1600,0.502655,4.161711e-04,2.495831e-03
5.1600,0.753982,3.505731e-04,2.509641e-03
5.1800,0.251327,6.237788e-04,2.417923e-03
5.1800,0.502655,4.004320e-04,2.231458e-03
5.1800,0.753982,3.403411e-04,2.293160e-03
5.2000,0.251327,5.889818e-04,2.016332e-03
5.2000,0.502655,3.814185e-04,1.933041e-03
5.2000,0.753982,3.271027e-04,2.049933e-03
5.2200,0.251327,5.496991e-04,1.582289e-03
5.2200,0.502655,3.593674e-04,1.605529e-03
5.2200,0.753982,3.110219e-04,1.771153e-03
5.2400,0.251327,5.064351e-04,1.122853e-03
5.2400,0.502655,3.345644e-04,1.254290e-03
5.2400,0.753982,2.923085e-04,1.461896e-03
5.2600,0.251327,4.597573e-04,6.454451e-04
5.2600,0.502655,3.073386e-04,8.850317e-04
5.2600,0.753982,2.712147e-04,1.127649e-03
5.2800,0.251327,4.102871e-04,1.894743e-04
5.2800,0.502655,2.780575e-04,5.037081e-04
5.2800,0.753982,2.480307e-04,7.742248e-04
5.3000,0.251327,3.586894e-04,5.421361e-04
5.3000,0.502655,2.471202e-04,1.164223e-04
5.3000,0.753982,2.230789e-04,4.135126e-04
5.3200,0.251327,3.056620e-04,1.050736e-03
5.3200,0.502655,2.149512e-04,3.249585e-04
5.3200,0.753982,1.967096e-04,5.226300e-05
5.3400,0.251327,2.519238e-04,1.549009e-03
5.3400,0.502655,1.819929e-04,7.235217e-04
5.3400,0.753982,1.692938e-04,3.400457e-04
5.3600,0.251327,1.982038e-04,2.028666e-03
5.3600,0.502655,1.486991e-04,1.111097e-03
5.3600,0.753982,1.412179e-04,7.088033e-04
5.3800,0.251327,1.452287e-04,2.481795e-03
5.3800,0.502655,1.155267e-04,1.481400e-03
5.3800,0.753982,1.128771e-04,1.066074e-03
5.4000,0.251327,9.371183e-05,2.900978e-03
5.4000,0.502655,8.292905e-05,1.828474e-03
5.4000,0.753982,8.466864e-05,1.406071e-03
5.4200,0.251327,4.434159e-05,3.279403e-03
5.4200,0.502655,5.134811e-05,2.146788e-03
5.4200,0.753982,5.698537e-05,1.723333e-03
5.4400,0.251327,-2.229506e-06,3.610960e-03
5.4400,0.502655,2.120778e-05,2.431310e-03
5.4400,0.753982,3.020964e-05,2.012810e-03
5.4600,0.251327,-4.539500e-05,3.890337e-03
5.4600,0.502655,-7.093069e-06,2.677589e-03
5.4600,0.753982,4.706900e-06,2.269937e-03
5.4800,0.251327,-8.460397e-05,4.113090e-03
5.4800,0.502655,-3.318679e-05,2.881812e-03
5.4800,0.753982,-1.918008e-05,2.490700e-03
5.5000,0.251327,-1.193696e-04,4.275706e-03
5.5000,0.502655,-5.674277e-05,3.040869e-03
5.5000,0.753982,-4.113665e-05,2.671697e-03
